C0979237	oxytetracycline_125_mg_oral_capsule
C0488716	C0488716
C3505625	C3505625
C1140020	C1140020
C3639111	pdqualif_questionnaire_question
C0222828	structure_of_shaft_of_first_rib
C0974616	asa_65_mg_chewable_tablet
C0980550	C0980550
C0922717	C0922717
C0542694	desoximetasone
C3642477	hamd_21_questionnaire_question
C3809092	C3809092
C0013423	torsion_dystonia
C0019994	hosp
C0020542	pulmonary_hypertension
C0819948	C0819948
C0831900	C0831900
C0205642	oxyphilic_adenocarcinoma
C0835531	C0835531
C0244656	fosphenytoin
C3496909	C3496909
C3655767	C3655767
C1181659	C1181659
C3864813	C3864813
C1518713	ovarian_endometrioid_cystadenoma
C3699067	C3699067
C0278772	localized_resectable_adult_liver_carcinoma
C0007610	nucleus
C0826823	C0826823
C1544425	C1544425
C3817036	xartemis_xr_7.5_mg_325_mg_12_hr_extended_release_oral_tablet
C1519554	topoisomerase_2_inhibitors
C1273282	betamethasone_calcipotriene
C0993159	oral_tablet
C0484663	C0484663
C2735913	C2735913
C3191478	acetaminophen_325_mg___diphenhydramine_hcl_12.5_mg___phenylephrine_hcl_5_mg_oral_capsule
C4059670	C4059670
C0797215	C0797215
C1445427	cladosporium_herbarum_allergenic_extract
C0943060	C0943060
C0933455	C0933455
C1825635	jazf1_gene
C1186322	C1186322
C3857383	harvoni_90_mg___400_mg_oral_tablet
C0002302	alpha_melanotropin
C0039231	tachycardia
C1744610	structure_of_vagus_nerve_auricular_branch
C0921131	C0921131
C3256816	vitis_vinifera_seed_extract
C2926269	C2926269
C2735988	C2735988
C0077770	doxazosin_mesylate
C0065002	lincosamides
C2609572	C2609572
C0501802	C0501802
C1182586	C1182586
C0482572	C0482572
C0682566	sarcoplasm
C0802578	C0802578
C0032972	pregn_outcome
C0142877	sodium_dodecylbenzenesulfonate
C0226408	structure_of_lumbar_artery
C0009691	congenital_cataract
C1858338	hmsno
C3665177	khedezla_24_hr_extended_release_oral_tablet
C3245334	proparacaine_hydrochloride_5_mg_ml
C1185812	C1185812
C2984251	neuroactive_ligand_receptor_signaling_pathway
C2674321	proc_deficiency__autosomal_dominant
C0973778	acetaminophen
C2742136	e_selectin__human
