Q31	country in western Europe
Q23	1st president of the United States (1732-1799)
Q2013	free knowledge database project hosted by the Wikimedia Foundation and edited by volunteers
Q45	country in southwestern Europe
Q51	polar continent
Q148	sovereign state in East Asia
Q163	historic county of England
Q183	country in Central Europe
Q207	43rd president of the United States
Q233	sovereign state in Southern Europe situated on an archipelago in the Mediterranean Sea
Q288	commune in Indre-et-Loire department, Centre Region, France
Q298	sovereign state in South America
Q328	English-language edition of Wikipedia
Q362	1939–1945 global war between the Allied and Axis Powers
Q398	sovereign state in Southwest Asia
Q431	study of the animal kingdom
Q501	French poet, essayist and art critic (1821-1867)
Q511	art museum in Lyon, France
Q524	volcano on the southwestern coast of Italy
Q556	chemical element with symbol H and atomic number 1; lightest and most abundant chemical substance in the universe
Q585	capital city of Norway
Q586	city in and former capital of Germany
Q597	capital city of Portugal
Q647	commune in Ille-et-Vilaine, France
Q648	commune in Nord, France
Q659	one of the four cardinal directions
Q686	sovereign state situated on an archipelago in the South Pacific Ocean
Q694	province of the Netherlands
Q749	capital city of the province of Groningen, the Netherlands
Q771	state of the United States of America
Q801	sovereign state in western Asia
Q807	capital city of the canton of Vaud, Switzerland
Q819	sovereign state in Southeast Asia
Q863	sovereign state in Central Asia
Q869	sovereign state in Southeast Asia
Q878	sovereign state in Southwest Asia
Q883	Russian city; administrative center of Siberian Federal District
Q891	capital of Volga Federal District, Russia
Q898	city in Russia
Q899	Artificial waterway in Egypt that exists for aquatic reasons.
Q912	sovereign state in West Africa
Q916	sovereign state in Africa
Q968	town in North Rhine-Westphalia, Germany
Q973	river in Russia; second-longest river in Asia
Q1044	sovereign state in West Africa
Q1049	sovereign state in Northeast Africa
Q1092	science fiction media franchise
Q1183	unincorporated territory of the United States
Q1201	state of Germany
Q1204	state of the United States of America
Q1270	mountain range in the Western part of the Alps
Q1297	city and county seat of Cook County, Illinois, United States
Q1363	Indian state
Q1404	German town in Schleswig-Holstein
Q1455	team sport version of hockey played on grass or turf with sticks and a round ball
Q1468	seat of Werra-Meißner-Kreis and town in Hesse, Germany
Q1469	longest river in France
Q1489	capital city of Mexico
Q1494	state of the United States of America
Q1499	Indian state
Q1513	city in Maharashtra, India
Q1521	Roman Catholic cathedral in Lyon, France, and the seat of the Archbishop of Lyon
Q1522	state of the United States of America
Q1533	capital and centre of the Greater Caracas Area, Venezuela
Q1623	city of the Philippines in Metro Manila
Q1636	city of the Philippines and capital of the province of Rizal
Q1644	major river in Central Europe
Q1673	right tributary of Rhine river in Germany
Q1693	marginal sea of the Atlantic Ocean
Q1707	city in Schleswig-Holstein, Germany
Q1711	capital city of the German state of Brandenburg
Q1718	capital city of the German federated state of North Rhine-Westphalia
Q1721	capital of the German state of Hesse
Q1724	capital of the German state of Saarland
Q1749	oblast and federal subject in the North-West of Russia, forming an exclaved land area bordering the Baltic Sea
Q1757	capital of Finland
Q1759	federal subject of Russia
Q1890	province of Indonesia, on the island of Sumatra
Q1987	year
Q1996	year
Q2003	province of Canada
Q2019	year
Q2048	year
Q2049	common year starting on Monday
Q2052	Italian association football club based in Florence, Tuscany founded in 1926
Q2057	common year starting on Friday
Q2065	year
Q2070	year
Q2073	federal subject of Russia, republic of Russia
