MENTION	XMLBOTTOM	XML	PATTERN	SCORE	POS
65	patients who received <DRUG>[Y]</DRUG>	patients who received <DRUG>[ ' [ Y ] ' ]</DRUG>	patients who received <DRUG></DRUG>	0.5962302776	3
68	patients who received <DRUG>[Y]</DRUG>	patients who received <DRUG>[ ' [ Y ] ' ]</DRUG>	patients who received <DRUG></DRUG>	0.5962302776	3
71	patients who received <DRUG>[Y]</DRUG>	patients who received <DRUG>[ ' [ Y ] ' ]</DRUG>	patients who received <DRUG></DRUG>	0.5962302776	3
247	efficacy and safety of <DRUG>[Y]</DRUG>	efficacy and safety of <DRUG>[ ' [ Y ] ' ]</DRUG>	efficacy and safety of <DRUG></DRUG>	0.543298328	4
252	efficacy and safety of <DRUG>[Y]</DRUG>	efficacy and safety of <DRUG>[ ' [ Y ] ' ]</DRUG>	efficacy and safety of <DRUG></DRUG>	0.543298328	4
257	efficacy and safety of <DRUG>[Y]</DRUG>	efficacy and safety of <DRUG>[ ' [ Y ] ' ]</DRUG>	efficacy and safety of <DRUG></DRUG>	0.543298328	4
262	efficacy and safety of <DRUG>[Y]</DRUG>	efficacy and safety of <DRUG>[ ' [ Y ] ' ]</DRUG>	efficacy and safety of <DRUG></DRUG>	0.543298328	4
329	<DRUG>[Y]</DRUG> for the prevention of <DISEASE>[X]</DISEASE>	<DRUG>[ ' [ Y ] ' ]</DRUG> for the prevention of <DISEASE>[ ' [ X ] ' ]</DISEASE>	<DRUG></DRUG> for the prevention of <DISEASE></DISEASE>	0.8922595636	0
331	<DRUG>[Y]</DRUG> for the prevention of <DISEASE>[X]</DISEASE>	<DRUG>[ ' [ Y ] ' ]</DRUG> for the prevention of <DISEASE>[ ' [ X ] ' ]</DISEASE>	<DRUG></DRUG> for the prevention of <DISEASE></DISEASE>	0.8922595636	0
373	efficacy and safety of <DRUG>[Y]</DRUG>	efficacy and safety of <DRUG>[ ' [ Y ] ' ]</DRUG>	efficacy and safety of <DRUG></DRUG>	0.543298328	4
375	efficacy and safety of <DRUG>[Y]</DRUG>	efficacy and safety of <DRUG>[ ' [ Y ] ' ]</DRUG>	efficacy and safety of <DRUG></DRUG>	0.543298328	4
524	prevention of <DISEASE>[X]</DISEASE>	prevention of <DISEASE>[ ' [ X ] ' ]</DISEASE>	prevention of <DISEASE></DISEASE>	0.4778995469	2
540	prevention of <DISEASE>[X]</DISEASE>	prevention of <DISEASE>[ ' [ X ] ' ]</DISEASE>	prevention of <DISEASE></DISEASE>	0.4778995469	2
569	patients with stable <DISEASE>[X]</DISEASE> pectoris	patients with stable <DISEASE>[ ' [ X ] ' ]</DISEASE> pectoris	patients with stable <DISEASE></DISEASE> pectoris	0.5962302776	3
591	<DRUG>[Y]</DRUG> in the prevention of postoperative	<DRUG>[ ' [ Y ] ' ]</DRUG> in the prevention of postoperative	<DRUG></DRUG> in the prevention of postoperative	0.6830503544	0
592	prevention of postoperative <DISEASE>[X]</DISEASE>	prevention of postoperative <DISEASE>[ ' [ X ] ' ]</DISEASE>	prevention of postoperative <DISEASE></DISEASE>	0.5506207537	3
592	postoperative <DISEASE>[X]</DISEASE> and vomiting -lrb- ponv -rrb-	postoperative <DISEASE>[ ' [ X ] ' ]</DISEASE> and vomiting -lrb- ponv -rrb-	postoperative <DISEASE></DISEASE> and vomiting -lrb- ponv -rrb-	0.5962302776	1
595	<DRUG>[Y]</DRUG> in the prevention of postoperative	<DRUG>[ ' [ Y ] ' ]</DRUG> in the prevention of postoperative	<DRUG></DRUG> in the prevention of postoperative	0.6830503544	0
596	prevention of postoperative <DISEASE>[X]</DISEASE>	prevention of postoperative <DISEASE>[ ' [ X ] ' ]</DISEASE>	prevention of postoperative <DISEASE></DISEASE>	0.5506207537	3
596	postoperative <DISEASE>[X]</DISEASE> and vomiting -lrb- ponv -rrb-	postoperative <DISEASE>[ ' [ X ] ' ]</DISEASE> and vomiting -lrb- ponv -rrb-	postoperative <DISEASE></DISEASE> and vomiting -lrb- ponv -rrb-	0.5962302776	1
601	prevention of postoperative <DISEASE>[X]</DISEASE>	prevention of postoperative <DISEASE>[ ' [ X ] ' ]</DISEASE>	prevention of postoperative <DISEASE></DISEASE>	0.5506207537	3
601	postoperative <DISEASE>[X]</DISEASE> and vomiting -lrb- ponv -rrb-	postoperative <DISEASE>[ ' [ X ] ' ]</DISEASE> and vomiting -lrb- ponv -rrb-	postoperative <DISEASE></DISEASE> and vomiting -lrb- ponv -rrb-	0.5962302776	1
606	prevention of postoperative <DISEASE>[X]</DISEASE>	prevention of postoperative <DISEASE>[ ' [ X ] ' ]</DISEASE>	prevention of postoperative <DISEASE></DISEASE>	0.5506207537	3
606	postoperative <DISEASE>[X]</DISEASE> and vomiting -lrb- ponv -rrb-	postoperative <DISEASE>[ ' [ X ] ' ]</DISEASE> and vomiting -lrb- ponv -rrb-	postoperative <DISEASE></DISEASE> and vomiting -lrb- ponv -rrb-	0.5962302776	1
612	postoperative <DISEASE>[X]</DISEASE> and vomiting -lrb- ponv -rrb-	postoperative <DISEASE>[ ' [ X ] ' ]</DISEASE> and vomiting -lrb- ponv -rrb-	postoperative <DISEASE></DISEASE> and vomiting -lrb- ponv -rrb-	0.5962302776	1
