MENTION	XMLBOTTOM	XML	PATTERN	SCORE	POS
3	treatment of <DISEASE>[X]</DISEASE>	treatment of <DISEASE>[X]</DISEASE>	treatment of <DISEASE></DISEASE>	0.6187262921	2
5	<DISEASE>[X]</DISEASE> were treated with <DRUG>[Y]</DRUG>	<DISEASE>[X]</DISEASE> were treated with <DRUG>[Y]</DRUG>	<DISEASE></DISEASE> were treated with <DRUG></DRUG>	0.951569997	0
6	<DISEASE>[X]</DISEASE> were treated with <DRUG>[Y]</DRUG>	<DISEASE>[X]</DISEASE> were treated with <DRUG>[Y]</DRUG>	<DISEASE></DISEASE> were treated with <DRUG></DRUG>	0.951569997	4
13	background : <DRUG>[Y]</DRUG>	background : <DRUG>[Y]</DRUG>	background : <DRUG></DRUG>	0.7911603125	2
14	treatment of <DISEASE>[X]</DISEASE>	treatment of <DISEASE>[X]</DISEASE>	treatment of <DISEASE></DISEASE>	0.6187262921	2
16	background : <DRUG>[Y]</DRUG>	background : <DRUG>[Y]</DRUG>	background : <DRUG></DRUG>	0.7911603125	2
17	treatment of <DISEASE>[X]</DISEASE>	treatment of <DISEASE>[X]</DISEASE>	treatment of <DISEASE></DISEASE>	0.6187262921	2
20	<DISEASE>[X]</DISEASE> treated with <DRUG>[Y]</DRUG>	<DISEASE>[X]</DISEASE> treated with <DRUG>[Y]</DRUG>	<DISEASE></DISEASE> treated with <DRUG></DRUG>	0.1482710386	0
21	<DISEASE>[X]</DISEASE> treated with <DRUG>[Y]</DRUG>	<DISEASE>[X]</DISEASE> treated with <DRUG>[Y]</DRUG>	<DISEASE></DISEASE> treated with <DRUG></DRUG>	0.1482710386	3
45	treatment of <DISEASE>[X]</DISEASE>	treatment of <DISEASE>[X]</DISEASE>	treatment of <DISEASE></DISEASE>	0.6187262921	2
56	effects of <DRUG>[Y]</DRUG>	effects of <DRUG>[Y]</DRUG>	effects of <DRUG></DRUG>	0.1561517862	2
62	<DRUG>[Y]</DRUG> -lrb-	<DRUG>[Y]</DRUG> -lrb-	<DRUG></DRUG> -lrb-	0.1597990265	0
64	<DRUG>[Y]</DRUG> -lrb-	<DRUG>[Y]</DRUG> -lrb-	<DRUG></DRUG> -lrb-	0.1597990265	0
70	<DISEASE>[X]</DISEASE> -lrb-	<DISEASE>[X]</DISEASE> -lrb-	<DISEASE></DISEASE> -lrb-	0.1413220535	0
71	<DRUG>[Y]</DRUG> -lrb-	<DRUG>[Y]</DRUG> -lrb-	<DRUG></DRUG> -lrb-	0.1597990265	0
78	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
82	<DISEASE>[X]</DISEASE> disease -lrb- <DISEASE>[X]</DISEASE> -rrb-	<DISEASE>[X]</DISEASE> disease -lrb- <DISEASE>[X]</DISEASE> -rrb-	<DISEASE></DISEASE> disease -lrb- <DISEASE></DISEASE> -rrb-	0.1859798439	0
83	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
85	<DRUG>[Y]</DRUG> -lrb-	<DRUG>[Y]</DRUG> -lrb-	<DRUG></DRUG> -lrb-	0.1597990265	0
86	gastroesophageal <DISEASE>[X]</DISEASE> disease	gastroesophageal <DISEASE>[X]</DISEASE> disease	gastroesophageal <DISEASE></DISEASE> disease	0.2028028758	1
