MENTION	XMLBOTTOM	XML	PATTERN	SCORE	POS
3388	prevention of postoperative nausea and <DISEASE>[Y]</DISEASE> -lrb- ponv -rrb-	prevention of postoperative nausea and <DISEASE>[Y]</DISEASE> -lrb- ponv -rrb-	prevention of postoperative nausea and <DISEASE></DISEASE> -lrb- ponv -rrb-	0.4336344823	5
3390	prevention of postoperative nausea and <DISEASE>[Y]</DISEASE> -lrb- ponv -rrb-	prevention of postoperative nausea and <DISEASE>[Y]</DISEASE> -lrb- ponv -rrb-	prevention of postoperative nausea and <DISEASE></DISEASE> -lrb- ponv -rrb-	0.4336344823	5
3430	postoperative nausea and <DISEASE>[Y]</DISEASE>	postoperative nausea and <DISEASE>[Y]</DISEASE>	postoperative nausea and <DISEASE></DISEASE>	0.4825502252	3
3430	nausea and <DISEASE>[Y]</DISEASE> -lrb- ponv -rrb-	nausea and <DISEASE>[Y]</DISEASE> -lrb- ponv -rrb-	nausea and <DISEASE></DISEASE> -lrb- ponv -rrb-	0.4336344823	2
3432	postoperative nausea and <DISEASE>[Y]</DISEASE>	postoperative nausea and <DISEASE>[Y]</DISEASE>	postoperative nausea and <DISEASE></DISEASE>	0.4825502252	3
3432	nausea and <DISEASE>[Y]</DISEASE> -lrb- ponv -rrb-	nausea and <DISEASE>[Y]</DISEASE> -lrb- ponv -rrb-	nausea and <DISEASE></DISEASE> -lrb- ponv -rrb-	0.4336344823	2
3445	postoperative nausea and <DISEASE>[Y]</DISEASE>	postoperative nausea and <DISEASE>[Y]</DISEASE>	postoperative nausea and <DISEASE></DISEASE>	0.4825502252	3
3447	postoperative nausea and <DISEASE>[Y]</DISEASE>	postoperative nausea and <DISEASE>[Y]</DISEASE>	postoperative nausea and <DISEASE></DISEASE>	0.4825502252	3
3450	postoperative nausea and <DISEASE>[Y]</DISEASE>	postoperative nausea and <DISEASE>[Y]</DISEASE>	postoperative nausea and <DISEASE></DISEASE>	0.4825502252	3
3452	postoperative nausea and <DISEASE>[Y]</DISEASE>	postoperative nausea and <DISEASE>[Y]</DISEASE>	postoperative nausea and <DISEASE></DISEASE>	0.4825502252	3
3454	postoperative nausea and <DISEASE>[Y]</DISEASE>	postoperative nausea and <DISEASE>[Y]</DISEASE>	postoperative nausea and <DISEASE></DISEASE>	0.4825502252	3
3454	nausea and <DISEASE>[Y]</DISEASE> -lrb- ponv -rrb-	nausea and <DISEASE>[Y]</DISEASE> -lrb- ponv -rrb-	nausea and <DISEASE></DISEASE> -lrb- ponv -rrb-	0.4336344823	2
3456	postoperative nausea and <DISEASE>[Y]</DISEASE>	postoperative nausea and <DISEASE>[Y]</DISEASE>	postoperative nausea and <DISEASE></DISEASE>	0.4825502252	3
3456	nausea and <DISEASE>[Y]</DISEASE> -lrb- ponv -rrb-	nausea and <DISEASE>[Y]</DISEASE> -lrb- ponv -rrb-	nausea and <DISEASE></DISEASE> -lrb- ponv -rrb-	0.4336344823	2
3469	<DISEASE>[Y]</DISEASE> -lrb- ponv -rrb-	<DISEASE>[Y]</DISEASE> -lrb- ponv -rrb-	<DISEASE></DISEASE> -lrb- ponv -rrb-	0.4633849397	0
3472	<DISEASE>[Y]</DISEASE> -lrb- ponv -rrb-	<DISEASE>[Y]</DISEASE> -lrb- ponv -rrb-	<DISEASE></DISEASE> -lrb- ponv -rrb-	0.4633849397	0
3478	postoperative nausea and <DISEASE>[Y]</DISEASE>	postoperative nausea and <DISEASE>[Y]</DISEASE>	postoperative nausea and <DISEASE></DISEASE>	0.4825502252	3
