MENTION	XMLBOTTOM	XML	PATTERN	SCORE	POS
53	<FOUNDER>[Y]</FOUNDER> , founder of <COMPANY>[X]</COMPANY> ,	<FOUNDER>[Y]</FOUNDER> , founder of <COMPANY>[X]</COMPANY> ,	<FOUNDER></FOUNDER> , founder of <COMPANY></COMPANY> ,	0.4105961042	0
54	<FOUNDER>[Y]</FOUNDER> , founder of <COMPANY>[X]</COMPANY> ,	<FOUNDER>[Y]</FOUNDER> , founder of <COMPANY>[X]</COMPANY> ,	<FOUNDER></FOUNDER> , founder of <COMPANY></COMPANY> ,	0.4105961042	4
200	<FOUNDER>[Y]</FOUNDER> , founder of the <COMPANY>[X]</COMPANY>	<FOUNDER>[Y]</FOUNDER> , founder of the <COMPANY>[X]</COMPANY>	<FOUNDER></FOUNDER> , founder of the <COMPANY></COMPANY>	0.4586184149	0
201	<FOUNDER>[Y]</FOUNDER> , founder of the <COMPANY>[X]</COMPANY>	<FOUNDER>[Y]</FOUNDER> , founder of the <COMPANY>[X]</COMPANY>	<FOUNDER></FOUNDER> , founder of the <COMPANY></COMPANY>	0.4586184149	5
245	 <FOUNDER>[Y]</FOUNDER> , founder of <COMPANY>[X]</COMPANY>	 <FOUNDER>[Y]</FOUNDER> , founder of <COMPANY>[X]</COMPANY>	 <FOUNDER></FOUNDER> , founder of <COMPANY></COMPANY>	0.9145183693	1
245	<FOUNDER>[Y]</FOUNDER> , founder of <COMPANY>[X]</COMPANY> ,	<FOUNDER>[Y]</FOUNDER> , founder of <COMPANY>[X]</COMPANY> ,	<FOUNDER></FOUNDER> , founder of <COMPANY></COMPANY> ,	0.4105961042	0
246	 <FOUNDER>[Y]</FOUNDER> , founder of <COMPANY>[X]</COMPANY>	 <FOUNDER>[Y]</FOUNDER> , founder of <COMPANY>[X]</COMPANY>	 <FOUNDER></FOUNDER> , founder of <COMPANY></COMPANY>	0.9145183693	5
246	<FOUNDER>[Y]</FOUNDER> , founder of <COMPANY>[X]</COMPANY> ,	<FOUNDER>[Y]</FOUNDER> , founder of <COMPANY>[X]</COMPANY> ,	<FOUNDER></FOUNDER> , founder of <COMPANY></COMPANY> ,	0.4105961042	4
441	<FOUNDER>[Y]</FOUNDER> , the founder of <COMPANY>[X]</COMPANY> ,	<FOUNDER>[Y]</FOUNDER> , the founder of <COMPANY>[X]</COMPANY> ,	<FOUNDER></FOUNDER> , the founder of <COMPANY></COMPANY> ,	0.4529153336	0
442	<FOUNDER>[Y]</FOUNDER> , the founder of <COMPANY>[X]</COMPANY> ,	<FOUNDER>[Y]</FOUNDER> , the founder of <COMPANY>[X]</COMPANY> ,	<FOUNDER></FOUNDER> , the founder of <COMPANY></COMPANY> ,	0.4529153336	5
445	<FOUNDER>[Y]</FOUNDER> , the founder of <COMPANY>[X]</COMPANY> ,	<FOUNDER>[Y]</FOUNDER> , the founder of <COMPANY>[X]</COMPANY> ,	<FOUNDER></FOUNDER> , the founder of <COMPANY></COMPANY> ,	0.4529153336	0
446	<FOUNDER>[Y]</FOUNDER> , the founder of <COMPANY>[X]</COMPANY> ,	<FOUNDER>[Y]</FOUNDER> , the founder of <COMPANY>[X]</COMPANY> ,	<FOUNDER></FOUNDER> , the founder of <COMPANY></COMPANY> ,	0.4529153336	5
449	<FOUNDER>[Y]</FOUNDER> , founder of <COMPANY>[X]</COMPANY> ,	<FOUNDER>[Y]</FOUNDER> , founder of <COMPANY>[X]</COMPANY> ,	<FOUNDER></FOUNDER> , founder of <COMPANY></COMPANY> ,	0.4105961042	0
