MENTION	XMLBOTTOM	XML	PATTERN	SCORE	POS
3	<RELIGION>[Y]</RELIGION> , <PERSON>[X]</PERSON>	<RELIGION>[Y]</RELIGION> , <PERSON>[X]</PERSON>	<RELIGION></RELIGION> , <PERSON></PERSON>	0.475529559	0
4	<RELIGION>[Y]</RELIGION> , <PERSON>[X]</PERSON>	<RELIGION>[Y]</RELIGION> , <PERSON>[X]</PERSON>	<RELIGION></RELIGION> , <PERSON></PERSON>	0.475529559	2
15	nation of <RELIGION>[Y]</RELIGION>	nation of <RELIGION>[Y]</RELIGION>	nation of <RELIGION></RELIGION>	0.407611847	2
160	<PERSON>[X]</PERSON> al	<PERSON>[X]</PERSON> al	<PERSON></PERSON> al	0.2579644171	0
176	<RELIGION>[Y]</RELIGION> , <PERSON>[X]</PERSON>	<RELIGION>[Y]</RELIGION> , <PERSON>[X]</PERSON>	<RELIGION></RELIGION> , <PERSON></PERSON>	0.475529559	0
177	<RELIGION>[Y]</RELIGION> , <PERSON>[X]</PERSON>	<RELIGION>[Y]</RELIGION> , <PERSON>[X]</PERSON>	<RELIGION></RELIGION> , <PERSON></PERSON>	0.475529559	2
230	<RELIGION>[Y]</RELIGION> church	<RELIGION>[Y]</RELIGION> church	<RELIGION></RELIGION> church	0.3707758476	0
256	<RELIGION>[Y]</RELIGION> , <PERSON>[X]</PERSON>	<RELIGION>[Y]</RELIGION> , <PERSON>[X]</PERSON>	<RELIGION></RELIGION> , <PERSON></PERSON>	0.475529559	0
257	<RELIGION>[Y]</RELIGION> , <PERSON>[X]</PERSON>	<RELIGION>[Y]</RELIGION> , <PERSON>[X]</PERSON>	<RELIGION></RELIGION> , <PERSON></PERSON>	0.475529559	2
268	<PERSON>[X]</PERSON> , who	<PERSON>[X]</PERSON> , who	<PERSON></PERSON> , who	0.3093021051	0
278	<PERSON>[X]</PERSON> , who	<PERSON>[X]</PERSON> , who	<PERSON></PERSON> , who	0.3093021051	0
310	<PERSON>[X]</PERSON> , who	<PERSON>[X]</PERSON> , who	<PERSON></PERSON> , who	0.3093021051	0
