MENTION	XMLBOTTOM	XML	PATTERN	SCORE	POS
3	<RELIGION>[Y]</RELIGION> , <PERSON>[X]</PERSON>	<RELIGION>[ ' [ Y ] ' ]</RELIGION> , <PERSON>[ ' [ X ] ' ]</PERSON>	<RELIGION></RELIGION> , <PERSON></PERSON>	0.6047577364	0
4	<RELIGION>[Y]</RELIGION> , <PERSON>[X]</PERSON>	<RELIGION>[ ' [ Y ] ' ]</RELIGION> , <PERSON>[ ' [ X ] ' ]</PERSON>	<RELIGION></RELIGION> , <PERSON></PERSON>	0.6047577364	2
5	<RELIGION>[Y]</RELIGION> ism	<RELIGION>[ ' [ Y ] ' ]</RELIGION> ism	<RELIGION></RELIGION> ism	0.1504694779	0
15	nation of <RELIGION>[Y]</RELIGION>	nation of <RELIGION>[ ' [ Y ] ' ]</RELIGION>	nation of <RELIGION></RELIGION>	0.3510539032	2
18	pan - <RELIGION>[Y]</RELIGION>	pan - <RELIGION>[ ' [ Y ] ' ]</RELIGION>	pan - <RELIGION></RELIGION>	0.0617053646	2
23	pan - <RELIGION>[Y]</RELIGION>	pan - <RELIGION>[ ' [ Y ] ' ]</RELIGION>	pan - <RELIGION></RELIGION>	0.0617053646	2
41	<PERSON>[X]</PERSON> , <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> , <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> , <RELIGION></RELIGION>	0.9239525756	0
42	<PERSON>[X]</PERSON> , <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> , <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> , <RELIGION></RELIGION>	0.9239525756	2
45	<PERSON>[X]</PERSON> and <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> and <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> and <RELIGION></RELIGION>	0.9128622768	0
46	<PERSON>[X]</PERSON> and <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> and <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> and <RELIGION></RELIGION>	0.9128622768	2
57	– <PERSON>[X]</PERSON> ,	– <PERSON>[ ' [ X ] ' ]</PERSON> ,	– <PERSON></PERSON> ,	0.1049708374	1
60	<RELIGION>[Y]</RELIGION> scholar	<RELIGION>[ ' [ Y ] ' ]</RELIGION> scholar	<RELIGION></RELIGION> scholar	0.1504694779	0
71	<PERSON>[X]</PERSON> , <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> , <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> , <RELIGION></RELIGION>	0.9239525756	0
72	<PERSON>[X]</PERSON> , <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> , <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> , <RELIGION></RELIGION>	0.9239525756	2
83	leader , <PERSON>[X]</PERSON>	leader , <PERSON>[ ' [ X ] ' ]</PERSON>	leader , <PERSON></PERSON>	0.0964816198	2
87	<PERSON>[X]</PERSON> , <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> , <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> , <RELIGION></RELIGION>	0.9239525756	0
88	<PERSON>[X]</PERSON> , <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> , <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> , <RELIGION></RELIGION>	0.9239525756	2
90	<RELIGION>[Y]</RELIGION> law	<RELIGION>[ ' [ Y ] ' ]</RELIGION> law	<RELIGION></RELIGION> law	0.1546762969	0
94	<PERSON>[X]</PERSON> , <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> , <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> , <RELIGION></RELIGION>	0.9239525756	0
95	<PERSON>[X]</PERSON> , <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> , <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> , <RELIGION></RELIGION>	0.9239525756	2
95	<RELIGION>[Y]</RELIGION> scholar	<RELIGION>[ ' [ Y ] ' ]</RELIGION> scholar	<RELIGION></RELIGION> scholar	0.1504694779	0
118	<RELIGION>[Y]</RELIGION> scholar	<RELIGION>[ ' [ Y ] ' ]</RELIGION> scholar	<RELIGION></RELIGION> scholar	0.1504694779	0
122	<RELIGION>[Y]</RELIGION> scholar	<RELIGION>[ ' [ Y ] ' ]</RELIGION> scholar	<RELIGION></RELIGION> scholar	0.1504694779	0
