MENTION	XMLBOTTOM	XML	PATTERN	SCORE	POS
19	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
20	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
40	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
50	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
80	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
107	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
249	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
307	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
347	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
348	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
349	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
353	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
354	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
361	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
364	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
365	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
367	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
372	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
379	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
444	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
479	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
480	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
481	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
486	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
501	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
516	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
529	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
547	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
562	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
605	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
616	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
622	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
633	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
644	<ADMINISTRATIVE_DIVISION>[X]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION>[ ' [ X ] ' ]</ADMINISTRATIVE_DIVISION> ia)	<ADMINISTRATIVE_DIVISION></ADMINISTRATIVE_DIVISION> ia)	0.6092653592	0
