MENTION	XMLBOTTOM	XML	PATTERN	SCORE	POS
73	<COUNTRY>[X]</COUNTRY> n army	<COUNTRY>[ ' [ X ] ' ]</COUNTRY> n army	<COUNTRY></COUNTRY> n army	0.542485401	0
85	<COUNTRY>[X]</COUNTRY> n army	<COUNTRY>[ ' [ X ] ' ]</COUNTRY> n army	<COUNTRY></COUNTRY> n army	0.542485401	0
89	<COUNTRY>[X]</COUNTRY> n army	<COUNTRY>[ ' [ X ] ' ]</COUNTRY> n army	<COUNTRY></COUNTRY> n army	0.542485401	0
114	( <COUNTRY>[X]</COUNTRY> ),	( <COUNTRY>[ ' [ X ] ' ]</COUNTRY> ),	( <COUNTRY></COUNTRY> ),	0.6397894336	1
129	<COUNTRY>[X]</COUNTRY> n army	<COUNTRY>[ ' [ X ] ' ]</COUNTRY> n army	<COUNTRY></COUNTRY> n army	0.542485401	0
137	<COUNTRY>[X]</COUNTRY> n army	<COUNTRY>[ ' [ X ] ' ]</COUNTRY> n army	<COUNTRY></COUNTRY> n army	0.542485401	0
213	<COUNTRY>[X]</COUNTRY> n army	<COUNTRY>[ ' [ X ] ' ]</COUNTRY> n army	<COUNTRY></COUNTRY> n army	0.542485401	0
221	<COUNTRY>[X]</COUNTRY> n army	<COUNTRY>[ ' [ X ] ' ]</COUNTRY> n army	<COUNTRY></COUNTRY> n army	0.542485401	0
235	<COUNTRY>[X]</COUNTRY> n army	<COUNTRY>[ ' [ X ] ' ]</COUNTRY> n army	<COUNTRY></COUNTRY> n army	0.542485401	0
245	<COUNTRY>[X]</COUNTRY> n army	<COUNTRY>[ ' [ X ] ' ]</COUNTRY> n army	<COUNTRY></COUNTRY> n army	0.542485401	0
252	<COUNTRY>[X]</COUNTRY> n army	<COUNTRY>[ ' [ X ] ' ]</COUNTRY> n army	<COUNTRY></COUNTRY> n army	0.542485401	0
