MENTION	XMLBOTTOM	XML	PATTERN	SCORE	POS
3	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> to study	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> to study	<PLACE_OF_DEATH></PLACE_OF_DEATH> to study	0.5216894689	0
16	<DECEASED_PERSON>[X]</DECEASED_PERSON> , who	<DECEASED_PERSON>[X]</DECEASED_PERSON> , who	<DECEASED_PERSON></DECEASED_PERSON> , who	0.8855638275	0
47	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> to study	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> to study	<PLACE_OF_DEATH></PLACE_OF_DEATH> to study	0.5216894689	0
49	<DECEASED_PERSON>[X]</DECEASED_PERSON> , <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON>[X]</DECEASED_PERSON> , <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON></DECEASED_PERSON> , <PLACE_OF_DEATH></PLACE_OF_DEATH>	0.898058704	0
50	<DECEASED_PERSON>[X]</DECEASED_PERSON> , <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON>[X]</DECEASED_PERSON> , <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON></DECEASED_PERSON> , <PLACE_OF_DEATH></PLACE_OF_DEATH>	0.898058704	2
61	com <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ons	com <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ons	com <PLACE_OF_DEATH></PLACE_OF_DEATH> ons	0.3495377454	1
63	com <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ons	com <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ons	com <PLACE_OF_DEATH></PLACE_OF_DEATH> ons	0.3495377454	1
77	 while in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ,	 while in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ,	 while in <PLACE_OF_DEATH></PLACE_OF_DEATH> ,	0.7371993533	3
93	time in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ,	time in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ,	time in <PLACE_OF_DEATH></PLACE_OF_DEATH> ,	0.9173169709	2
99	 in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ,	 in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ,	 in <PLACE_OF_DEATH></PLACE_OF_DEATH> ,	0.6701002268	2
101	 in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ,	 in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ,	 in <PLACE_OF_DEATH></PLACE_OF_DEATH> ,	0.6701002268	2
123	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> , california,	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> , california,	<PLACE_OF_DEATH></PLACE_OF_DEATH> , california,	0.6953990909	0
135	 <DECEASED_PERSON>[X]</DECEASED_PERSON>	 <DECEASED_PERSON>[X]</DECEASED_PERSON>	 <DECEASED_PERSON></DECEASED_PERSON>	0.4770911981	1
150	<DECEASED_PERSON>[X]</DECEASED_PERSON> , who	<DECEASED_PERSON>[X]</DECEASED_PERSON> , who	<DECEASED_PERSON></DECEASED_PERSON> , who	0.8855638275	0
152	<DECEASED_PERSON>[X]</DECEASED_PERSON> in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ,	<DECEASED_PERSON>[X]</DECEASED_PERSON> in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ,	<DECEASED_PERSON></DECEASED_PERSON> in <PLACE_OF_DEATH></PLACE_OF_DEATH> ,	0.6854944858	0
153	<DECEASED_PERSON>[X]</DECEASED_PERSON> in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ,	<DECEASED_PERSON>[X]</DECEASED_PERSON> in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ,	<DECEASED_PERSON></DECEASED_PERSON> in <PLACE_OF_DEATH></PLACE_OF_DEATH> ,	0.6854944858	2
158	<DECEASED_PERSON>[X]</DECEASED_PERSON> was born in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON>[X]</DECEASED_PERSON> was born in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON></DECEASED_PERSON> was born in <PLACE_OF_DEATH></PLACE_OF_DEATH>	0.1988877055	0
159	<DECEASED_PERSON>[X]</DECEASED_PERSON> was born in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON>[X]</DECEASED_PERSON> was born in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON></DECEASED_PERSON> was born in <PLACE_OF_DEATH></PLACE_OF_DEATH>	0.1988877055	4
160	<DECEASED_PERSON>[X]</DECEASED_PERSON> died in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON>[X]</DECEASED_PERSON> died in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON></DECEASED_PERSON> died in <PLACE_OF_DEATH></PLACE_OF_DEATH>	0.9173169709	0
161	<DECEASED_PERSON>[X]</DECEASED_PERSON> died in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON>[X]</DECEASED_PERSON> died in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON></DECEASED_PERSON> died in <PLACE_OF_DEATH></PLACE_OF_DEATH>	0.9173169709	3
178	 <DECEASED_PERSON>[X]</DECEASED_PERSON>	 <DECEASED_PERSON>[X]</DECEASED_PERSON>	 <DECEASED_PERSON></DECEASED_PERSON>	0.4770911981	1
